aX,aY,aZ,gX,gY,gZ
-0.438,-0.635,2.464,143.982,-121.948,-38.696
-0.496,-0.749,2.630,117.737,-98.694,-39.673
-0.411,-0.697,2.561,72.693,-70.618,-35.950
-0.221,-0.540,2.247,18.799,-39.856,-30.090
0.009,-0.301,1.768,-30.701,-11.780,-22.217
0.235,-0.013,1.220,-67.993,10.254,-10.681
0.427,0.274,0.733,-84.412,26.855,0.244
0.580,0.523,0.367,-81.238,37.292,7.019
0.712,0.739,0.115,-68.298,41.321,8.484
0.816,0.917,-0.066,-54.199,38.879,5.127
0.872,1.017,-0.169,-41.077,30.090,-0.488
0.885,1.054,-0.185,-25.940,16.418,-6.897
0.863,1.023,-0.108,-8.850,3.601,-13.489
0.844,0.959,0.027,8.240,-5.127,-16.785
0.785,0.858,0.194,21.729,-10.132,-17.456
0.724,0.747,0.349,30.579,-14.038,-14.893
0.644,0.643,0.493,33.875,-17.029,-13.489
0.585,0.544,0.608,34.180,-19.226,-12.878
0.563,0.459,0.675,30.945,-20.569,-11.658
0.555,0.401,0.708,26.184,-19.714,-9.155
0.558,0.361,0.719,22.583,-16.663,-5.249
0.569,0.343,0.709,19.409,-11.597,-2.563
0.588,0.343,0.688,15.869,-8.667,-0.793
0.604,0.354,0.656,11.658,-8.484,0.000
0.611,0.368,0.630,7.874,-9.094,-0.366
0.611,0.384,0.616,5.615,-9.033,-1.648
0.609,0.401,0.616,3.967,-9.521,-3.052
0.601,0.421,0.617,1.831,-10.559,-4.700
0.607,0.451,0.605,-1.221,-11.536,-6.653
0.604,0.474,0.588,-3.906,-11.780,-8.545
0.610,0.494,0.569,-4.944,-10.498,-9.460
0.613,0.509,0.547,-5.005,-8.240,-8.728
0.614,0.526,0.531,-4.578,-6.531,-7.935
0.615,0.537,0.519,-3.357,-5.615,-7.629
0.621,0.543,0.515,-1.892,-5.249,-7.446
0.626,0.542,0.514,-0.488,-3.906,-7.507
0.626,0.538,0.517,1.526,-2.197,-6.531
0.631,0.536,0.516,3.418,-1.038,-5.493
0.630,0.541,0.520,4.700,-0.793,-5.127
0.633,0.541,0.529,6.104,-1.709,-5.493
0.635,0.537,0.535,5.859,-2.747,-6.531
0.647,0.535,0.527,5.371,-3.113,-6.714
0.665,0.547,0.525,5.066,-3.174,-5.310
0.641,0.517,0.508,4.883,-2.686,-4.395
0.665,0.533,0.521,7.507,-3.906,-2.563
0.651,0.522,0.520,8.545,-4.456,-1.465
0.645,0.521,0.525,9.033,-5.066,-0.549
0.637,0.512,0.536,9.583,-6.104,-0.061
0.630,0.504,0.546,8.972,-7.141,0.000
0.621,0.494,0.557,8.606,-8.301,-0.061
0.610,0.485,0.570,8.545,-8.667,-0.061
0.605,0.480,0.581,8.728,-7.812,0.122
0.594,0.478,0.585,8.118,-6.775,0.610
0.590,0.482,0.580,7.507,-5.981,0.977
0.584,0.482,0.571,7.202,-5.737,1.099
0.578,0.486,0.570,8.057,-5.859,1.099
0.580,0.488,0.577,9.094,-5.310,0.061
0.578,0.484,0.588,9.521,-4.578,-0.793
0.576,0.478,0.600,9.094,-4.395,-1.221
0.574,0.472,0.608,7.812,-3.906,-1.038
0.569,0.463,0.619,6.836,-2.930,-0.854
0.567,0.456,0.628,6.165,-1.831,-0.732
0.561,0.453,0.638,4.700,-0.549,-0.793
0.554,0.445,0.646,3.357,0.671,-0.916
0.550,0.440,0.649,1.892,2.136,-1.343
0.550,0.439,0.641,0.244,3.540,-1.526
0.551,0.437,0.631,-0.427,4.944,-1.526
0.556,0.439,0.629,-0.305,6.470,-1.831
0.563,0.437,0.630,-0.610,7.751,-2.380
0.569,0.438,0.634,-1.160,9.033,-2.747
0.567,0.432,0.647,-2.380,9.827,-3.052
0.555,0.425,0.671,-3.845,10.498,-3.052
0.534,0.414,0.702,-5.249,11.597,-3.113
0.504,0.398,0.743,-6.836,13.184,-3.174
0.475,0.378,0.783,-8.667,15.564,-3.906
0.443,0.353,0.823,-10.803,17.944,-5.249
0.418,0.333,0.853,-13.977,20.508,-6.958
0.397,0.312,0.880,-18.005,23.254,-8.850
0.382,0.290,0.902,-22.644,26.550,-10.681
0.377,0.275,0.914,-27.344,30.457,-11.658
0.374,0.264,0.919,-31.677,34.851,-11.841
0.374,0.258,0.922,-35.706,41.016,-11.414
0.371,0.256,0.927,-40.222,46.753,-10.864
0.377,0.256,0.924,-45.715,52.307,-10.986
0.393,0.258,0.907,-52.124,57.556,-11.353
0.416,0.261,0.886,-58.289,62.805,-11.353
0.438,0.272,0.859,-64.026,68.054,-11.169
0.464,0.284,0.826,-69.458,73.608,-10.437
0.493,0.302,0.782,-74.890,78.979,-9.033
0.518,0.316,0.726,-79.956,84.229,-7.019
0.549,0.340,0.651,-83.496,89.600,-4.578
0.584,0.367,0.578,-84.839,94.971,-2.625
0.618,0.393,0.507,-84.412,100.098,-0.671
0.649,0.416,0.445,-81.604,105.347,2.075
0.661,0.439,0.400,-77.087,111.572,5.676
0.675,0.464,0.357,-71.838,116.760,7.751
0.684,0.485,0.315,-67.261,119.202,7.568
0.692,0.490,0.282,-63.110,120.483,5.737
0.701,0.492,0.266,-60.303,120.239,2.747
0.710,0.494,0.242,-60.547,117.737,-0.549
0.721,0.502,0.200,-62.622,114.929,-2.930
0.726,0.508,0.163,-63.354,114.746,-3.723
0.737,0.511,0.147,-62.866,114.197,-3.906
0.759,0.513,0.149,-64.209,112.488,-3.845
0.771,0.510,0.164,-70.557,110.779,-1.465
0.721,0.483,0.104,-82.153,109.009,1.648
0.742,0.505,0.047,-90.637,105.957,4.456
0.726,0.504,-0.021,-96.558,105.835,6.897
0.714,0.512,-0.099,-99.976,106.934,9.277
