aX,aY,aZ,gX,gY,gZ
1.134,-1.803,0.960,135.681,64.392,-205.994
1.620,-2.044,0.945,144.409,92.346,-170.715
1.884,-2.040,0.843,135.803,110.352,-103.943
1.710,-1.835,0.711,97.778,120.422,-29.175
1.138,-1.357,0.601,55.664,113.159,39.490
0.433,-0.844,0.518,16.846,82.520,78.918
-0.159,-0.419,0.492,-10.315,32.349,77.393
-0.469,-0.178,0.498,-23.315,-21.301,46.753
-0.525,-0.151,0.566,-21.240,-63.293,7.263
-0.403,-0.295,0.712,-8.667,-83.313,-25.330
-0.190,-0.477,0.860,4.578,-82.458,-45.837
0.010,-0.648,0.973,14.099,-69.031,-51.941
0.158,-0.764,1.014,17.761,-49.011,-43.213
0.229,-0.789,0.977,17.578,-27.161,-26.611
0.235,-0.746,0.901,16.541,-9.277,-9.888
0.197,-0.712,0.833,17.334,1.831,2.686
0.140,-0.675,0.812,19.165,6.531,9.888
0.072,-0.640,0.812,20.081,5.920,12.024
0.030,-0.620,0.824,16.357,1.465,12.146
0.015,-0.608,0.837,10.315,-5.676,9.216
0.011,-0.602,0.854,4.272,-12.817,5.676
0.020,-0.597,0.854,0.488,-17.029,3.601
0.032,-0.594,0.859,-0.977,-17.334,3.540
0.034,-0.596,0.875,-0.244,-15.320,4.822
0.035,-0.591,0.894,0.122,-12.329,6.104
0.035,-0.594,0.907,-0.916,-9.583,7.080
0.069,-0.577,0.917,-1.709,-7.080,7.446
0.061,-0.621,0.919,-3.845,-4.150,6.531
0.098,-0.611,0.907,-3.174,-1.282,7.568
0.117,-0.620,0.882,-3.296,1.648,8.423
0.133,-0.634,0.865,-4.028,2.502,8.972
0.100,-0.612,0.863,-5.005,2.563,11.414
0.063,-0.590,0.850,-8.362,3.540,13.306
0.051,-0.573,0.835,-10.193,5.005,12.756
0.053,-0.551,0.814,-10.498,5.310,10.498
0.077,-0.554,0.796,-8.972,3.479,8.484
0.026,-0.610,0.833,-6.104,0.305,7.263
0.206,-0.565,0.844,-2.747,-3.357,6.226
0.189,-0.649,0.857,-1.282,-4.089,2.686
0.174,-0.641,0.856,-0.183,-1.770,8.850
0.141,-0.630,0.863,-0.122,-0.305,13.184
0.134,-0.607,0.865,-1.160,-0.427,15.747
0.109,-0.566,0.871,-2.502,-0.916,17.761
0.094,-0.557,0.853,-4.822,-1.282,17.639
